Media,Selection,Phase,Sample,Freq0h,Freq6h
AMP,M9,0,WT,48.22,58.97
LB,M9,0,WT,41.78,15.11
LB,M9,0,WT,52.5,47.4
LB,M9,0,WT,52.47,49.9
LB,M9,0,WT,50.93,38.46
LB,M9,0,WT,50.8,52.03
AMP,MS,1,MS-F1-R1,52.33,35.41
AMP,MS,1,MS-F1-R2,48.72,53.79
AMP,MS,1,MS-F1-R3,34.98,19.27
AMP,MS,1,MS-F1-R4,53.69,65.44
AMP,MS,1,MS-F1-D16-R1,50.47,35.62
AMP,MS,1,MS-F1-D16-R2,43.08,23.37
AMP,MS,1,MS-F1-D16-R3,37.96,18.75
AMP,MS,1,MS-F1-D16-R4,36.47,44.66
LB,MS,1,F1-R2,43.07,14.46
LB,MS,1,F1-R3,37.17,41.09
LB,MS,1,F1-R4,30.76,10.06
LB,MS,1,F1-R1,58.3,41.97
LB,MS,1,F1-R2,61.71,34.67
LB,MS,1,F1-R3,51.53,25.85
LB,MS,1,F1-R4,58.33,11.52
LB,MS,1,F1-R1,47.25,37.8
LB,MS,1,F1-R2,36.6,36.22
LB,MS,1,F1-R3,45.63,56.18
LB,MS,1,F1-R4,38.46,4.14
AMP,SS,1,SS-F1-R1 (día 6),49.26,44.95
AMP,SS,1,SS-F1-R2 (día 6),67.05,29.61
AMP,SS,1,SS-F1-R3 (día 6),55.44,49.15
AMP,SS,1,SS-F1-R4 (día 6),43.5,38.89
AMP,SS,1,SS-F1-R1-A9 (día 7),47.71,16.45
AMP,SS,1,SS-F1-R3-E12 (día 7),32.78,39.5
AMP,SS,1,SS-F1-R4-G10 (día 7),32.69,7.44
AMP,SS,1,SS-F1-R4-G7 (day 7),49.83,29.76
AMP,SS,1,SS-F1-D3-R1,43.65,53.31
AMP,SS,1,SS-F1-D3-R2,47.94,62.16
AMP,SS,1,SS-F1-D3-R3,43.9,54.78
AMP,SS,1,SS-F1-D3-R4,42.37,45.45
LB,SS,1,F1-R1,51.65,35.19
LB,SS,1,F1-R2,42.15,58.68
LB,SS,1,F1-R3,61.91,40.48
LB,SS,1,F1-R4,51.97,46.03
LB,SS,1,F1-R1,48.11,49.75
LB,SS,1,F1-R2,58.53,54.57
LB,SS,1,F1-R3,41.96,59.08
LB,SS,1,F1-R4,52.02,65.72
LB,SS,1,F1-R1,52.52,51.91
LB,SS,1,F1-R2,52.37,56.95
LB,SS,1,F1-R3,58.16,67.5
LB,SS,1,F1-R4,63.79,63.6
AMP,MS,2,MS-F2-M6-R1,42.93,11.19
AMP,MS,2,MS-F2-M6-R2,43.9,14.29
AMP,MS,2,MS-F2-M6-R3,46.47,29.74
AMP,MS,2,MS-F2-M6-R4,42.38,42.11
AMP,MS,2,MS-F2-M4-R1,48.82,11.95
AMP,MS,2,MS-F2-M4-R2,43.27,17.1
AMP,MS,2,MS-F2-M4-R3,41.17,43.76
AMP,MS,2,MS-F2-M4-R4,44.82,57.12
LB,MS,2,F2-R1,42.62,16.06
LB,MS,2,F2-R2,42.31,12.89
LB,MS,2,F2-R3,45.07,18.37
LB,MS,2,F2-R4,44.76,19.23
LB,MS,2,F2-R1,51.13,12.29
LB,MS,2,F2-R2,57.59,26.09
LB,MS,2,F2-R3,61.43,42.39
LB,MS,2,F2-R4,57.59,30.88
LB,MS,2,F2-R1,52.56,13.15
LB,MS,2,F2-R2,50.58,20.49
LB,MS,2,F2-R3,49.67,12.63
LB,MS,2,F2-R4,43.05,39.15
AMP,SS,2,SS-F2-M6-R1,54.21,61.8
AMP,SS,2,SS-F2-M6-R2,48.17,73.57
AMP,SS,2,SS-F2-M6-R3,51.45,59.23
AMP,SS,2,SS-F2-M4-R1,47.32,59.31
AMP,SS,2,SS-F2-M4-R2,42.72,65.18
AMP,SS,2,SS-F2-M4-R3,43.88,61.13
AMP,SS,2,SS-F2-M6-R4,22.59,33.53
AMP,SS,2,SS-F2-M6-R4,22.59,43.53
LB,SS,2,F2-R1,49.06,39.07
LB,SS,2,F2-R2,48.28,44.09
LB,SS,2,F2-R3,50.04,38.44
LB,SS,2,F2-R4,62.41,11.32
LB,SS,2,F2-R1,53.54,62.17
LB,SS,2,F2-R2,60.48,69.44
LB,SS,2,F2-R3,51.92,64.17
LB,SS,2,F2-R4,20.49,8.44
LB,SS,2,F2-R1,60.94,61.91
LB,SS,2,F2-R2,62.85,57.53
LB,SS,2,F2-R3,60.15,59.96
LB,SS,2,F2-R4,40.79,28.31
AMP,MS,3,MS-F3-R1 (día 16),52.74,42.45
AMP,MS,3,MS-F3-R2 (día 16),40.67,29.14
AMP,MS,3,MS-F3-R3 (día 16),45.69,49.71
AMP,MS,3,MS-F3-R4 (día 16),52.42,56.02
AMP,MS,3,MS-F3-D19-R1,36.59,9.34
AMP,MS,3,MS-F3-D19-R2,31.23,33.65
AMP,MS,3,MS-F3-D19-R3,44.65,52.66
AMP,MS,3,MS-F3-D19-R4,46,56.23
LB,MS,3,F3-R1,31.41,13.51
LB,MS,3,F3-R2,41.27,15.49
LB,MS,3,F3-R3,43.02,17.2
LB,MS,3,F3-R4,37.25,17.02
LB,MS,3,F3-R1,43.72,16.08
LB,MS,3,F3-R2,54.25,22.13
LB,MS,3,F3-R3,56.77,29.11
LB,MS,3,F3-R4,62.82,36.19
LB,MS,3,F3-R1,50.52,16.69
LB,MS,3,F3-R2,57.87,20.57
LB,MS,3,F3-R3,47.33,22.68
LB,MS,3,F3-R4,41.84,26.11
AMP,SS,3,SS-F3-R1 (día 16),46.79,55.58
AMP,SS,3,SS-F3-R2 (día 16),37.89,32.72
AMP,SS,3,SS-F3-R3 (día 16),47.25,62.11
AMP,SS,3,SS-F3-R4 (día 16),34.81,51.3
AMP,SS,3,SS-F3-D19-R1,52.11,53.01
AMP,SS,3,SS-F3-D19-R2,39.63,19.68
AMP,SS,3,SS-F3-D19-R3,42.63,69.58
AMP,SS,3,SS-F3-D19-R4,36.7,24.89
AMP,SS,3,SS-F3-R1 (day 16),41.26,41.42
AMP,SS,3,SS-F3-R2 (day 16),41.93,18.74
AMP,SS,3,SS-F3-R3 (day 16),40.29,54.06
AMP,SS,3,SS-F3-R4 (day 16),45.37,28.38
LB,SS,3,F3-R1,50.81,48.14
LB,SS,3,F3-R2,45.51,40.52
LB,SS,3,F3-R3,41.05,54.09
LB,SS,3,F3-R4,51.93,34.66
LB,SS,3,F3-R1,61.83,69.25
LB,SS,3,F3-R2,47.74,40.6
LB,SS,3,F3-R3,50.11,60.51
LB,SS,3,F3-R4,25.61,17.53
LB,SS,3,F3-R1,55.21,60.06
LB,SS,3,F3-R2,38.79,48.54
LB,SS,3,F3-R3,57.18,45.54
LB,SS,3,F3-R4,37.9,37.55