ID,max df,standard error,time of max df,standard error,max y,standard error
MG1655_C4,8.64E+00,6.92E-03,2.34E-01,5.80E-04,3.42E-01,3.90E-04
MG1655_C5,1.02E+01,1.44E-02,2.10E-01,4.96E-04,4.58E-01,3.47E-04
MG1655_C6,1.05E+01,1.25E-02,2.31E-01,6.58E-04,4.17E-01,4.38E-04
MG1655_C7,9.33E+00,1.05E-02,2.31E-01,6.71E-04,3.24E-01,3.57E-04
MG1655_C8,1.08E+01,1.28E-02,2.20E-01,5.34E-04,4.72E-01,4.65E-04
SS_R1_A7+M7_C1,1.52E+01,1.34E-02,1.03E-01,6.85E-04,3.67E-01,2.52E-04
SS_R1_A7+M7_C2,1.45E+01,1.26E-02,9.79E-02,3.03E-04,3.91E-01,1.07E-04
SS_R1_A7+M7_C3,1.10E+01,1.05E-02,9.72E-02,2.78E-18,3.02E-01,1.61E-04
SS_R1_A7+M7_C4,1.35E+01,3.94E-02,4.32E-02,4.35E-04,3.87E-01,3.42E-04
SS_R1_A7+M7_C5,1.59E+01,1.31E-02,6.94E-02,0.00E+00,3.88E-01,7.66E-05
SS_R1_A7+M7_C6,1.48E+01,1.72E-02,8.33E-02,2.78E-18,3.68E-01,1.43E-04
SS_R1_A7+M7_C7,1.66E+01,1.01E-02,9.72E-02,2.78E-18,3.70E-01,6.19E-05
SS_R1_A7+M7_C8,1.23E+01,7.46E-03,1.09E-01,5.22E-04,3.90E-01,7.57E-05
SS_R1_A7+M7_C9,1.56E+01,1.39E-02,7.08E-02,4.17E-04,3.56E-01,1.07E-04
SS_R1_A7+M7_C10,1.57E+01,1.22E-02,7.46E-02,6.71E-04,3.76E-01,1.04E-04
SS_R1_A7+M7_C11,7.34E+00,1.22E-02,3.39E-01,6.85E-04,4.56E-02,3.13E-05
SS_R1_A7+M7_C12,1.44E+01,1.23E-02,1.25E-01,1.38E-04,4.00E-01,3.06E-04
SS_R1_A7+M7_C13,1.50E+01,1.01E-02,8.33E-02,2.78E-18,3.97E-01,8.14E-05
SS_R1_A7+M7_C14,1.50E+01,9.74E-03,8.33E-02,2.78E-18,3.87E-01,7.13E-05
SS_R1_A7+M7_C15,1.45E+01,1.38E-02,9.14E-02,6.85E-04,4.05E-01,1.74E-04
SS_R1_A7+M7_C16,1.49E+01,1.06E-02,8.33E-02,2.78E-18,4.16E-01,1.64E-04
SS_R1_A7+M7_C17,1.54E+01,1.60E-02,9.88E-02,4.35E-04,3.72E-01,1.29E-04
SS_R1_A7+M7_C18,1.46E+01,1.42E-02,9.72E-02,2.78E-18,3.71E-01,1.46E-04
SS_R1_A7+M7_C19,1.28E+01,1.30E-02,9.72E-02,2.78E-18,4.24E-01,2.50E-04
SS_R1_A7+M7_C20,1.55E+01,1.48E-02,6.94E-02,0.00E+00,4.15E-01,1.23E-04
SS_R1_A7+M7_C21,1.38E+01,1.11E-02,8.39E-02,2.72E-04,3.78E-01,9.66E-05
SS_R1_A7+M7_C22,1.40E+01,1.24E-02,8.33E-02,2.78E-18,3.59E-01,1.47E-04
SS_R1_A7+M7_C23,1.41E+01,1.18E-02,7.00E-02,2.72E-04,3.93E-01,9.45E-05
SS_R1_A7+M7_C24,1.41E+01,1.24E-02,7.28E-02,5.93E-04,4.35E-01,2.16E-04
MG1655_C1,8.74E+00,2.40E-02,4.17E-02,1.39E-18,3.37E-01,2.71E-04
MG1655_C2,9.37E+00,8.30E-03,8.33E-02,2.78E-18,3.50E-01,1.44E-04
MG1655_C3,9.79E+00,2.28E-02,5.81E-02,1.46E-03,3.45E-01,1.65E-04
MG1655_C4,9.39E+00,7.07E-03,7.00E-02,2.72E-04,3.09E-01,9.16E-05
MG1655_C5,7.65E+00,6.31E-03,1.26E-01,9.40E-04,3.41E-01,1.58E-04
MG1655_C6,9.73E+00,1.23E-02,7.53E-02,1.43E-03,3.35E-01,1.75E-04
MG1655_C7,9.40E+00,7.36E-03,7.61E-02,6.94E-04,3.59E-01,1.67E-04
MG1655_C8,9.99E+00,9.40E-03,9.56E-02,4.51E-04,3.73E-01,1.89E-04
SS_R3_A7+M0_C1,9.33E+00,7.47E-03,9.81E-02,3.30E-04,3.80E-01,1.27E-04
SS_R3_A7+M0_C2,9.07E+00,6.32E-03,1.11E-01,1.39E-18,3.59E-01,1.46E-04
SS_R3_A7+M0_C3,9.86E+00,6.62E-03,9.74E-02,1.38E-04,3.47E-01,1.21E-04
SS_R3_A7+M0_C4,8.78E+00,7.13E-03,9.94E-02,6.43E-04,3.62E-01,2.34E-04
SS_R3_A7+M0_C5,9.44E+00,6.39E-03,8.36E-02,2.76E-04,3.51E-01,1.67E-04
SS_R3_A7+M0_C6,8.80E+00,9.18E-03,1.29E-01,6.98E-04,3.58E-01,1.59E-04
SS_R3_A7+M0_C7,9.76E+00,6.83E-03,1.11E-01,1.39E-18,3.57E-01,1.31E-04
SS_R3_A7+M0_C8,9.88E+00,8.30E-03,8.33E-02,2.78E-18,3.66E-01,1.40E-04
SS_R3_A7+M0_C9,9.06E+00,6.45E-03,9.38E-02,6.01E-04,3.90E-01,1.26E-04
SS_R3_A7+M0_C10,9.16E+00,2.27E-02,4.89E-02,7.73E-04,3.58E-01,1.43E-04
SS_R3_A7+M0_C11,8.53E+00,7.17E-03,8.08E-02,5.34E-04,4.11E-01,1.43E-04
SS_R3_A7+M0_C12,9.88E+00,8.53E-03,1.11E-01,1.38E-04,3.57E-01,1.97E-04
SS_R3_A7+M0_C13,8.76E+00,5.87E-03,2.27E-01,6.62E-04,3.71E-01,3.87E-04
SS_R3_A7+M0_C14,9.45E+00,7.73E-03,8.94E-02,6.89E-04,3.72E-01,1.70E-04
SS_R3_A7+M0_C15,9.13E+00,9.11E-03,1.00E-01,1.05E-03,3.50E-01,2.09E-04
SS_R3_A7+M0_C16,9.21E+00,8.32E-03,1.25E-01,1.94E-04,3.42E-01,1.91E-04
SS_R3_A7+M0_C17,9.16E+00,7.33E-03,9.21E-02,6.71E-04,3.82E-01,1.14E-04
SS_R3_A7+M0_C18,9.06E+00,6.88E-03,1.23E-01,5.09E-04,3.33E-01,1.92E-04
SS_R3_A7+M0_C19,9.42E+00,7.99E-03,1.09E-01,4.51E-04,3.62E-01,1.69E-04
SS_R3_A7+M0_C20,9.64E+00,9.15E-03,7.88E-02,7.36E-04,3.66E-01,1.93E-04
SS_R3_A7+M0_C21,8.96E+00,4.31E-03,1.09E-01,4.82E-04,3.72E-01,1.22E-04
SS_R3_A7+M0_C22,9.55E+00,8.80E-03,1.25E-01,0.00E+00,3.76E-01,2.61E-04
SS_R3_A7+M0_C23,9.10E+00,1.45E-02,6.03E-02,1.08E-03,3.53E-01,2.13E-04
SS_R3_A7+M0_C24,1.02E+01,8.64E-03,9.72E-02,2.78E-18,3.70E-01,1.30E-04
SS_R3_A7+M0_C25,9.51E+00,7.20E-03,1.23E-01,4.35E-04,3.77E-01,1.63E-04
SS_R3_A7+M0_C26,7.80E+00,6.38E-03,1.48E-01,6.53E-04,3.18E-01,1.03E-04
SS_R3_A7+M0_C27,9.27E+00,7.94E-03,1.63E-01,6.01E-04,3.38E-01,2.48E-04
SS_R3_A7+M0_C28,1.00E+01,7.16E-03,1.18E-01,6.94E-04,3.72E-01,9.17E-05
SS_R3_A7+M0_C29,8.91E+00,7.44E-03,1.54E-01,6.48E-04,3.38E-01,3.46E-04
SS_R3_A7+M0_C30,9.51E+00,8.01E-03,1.25E-01,1.94E-04,3.60E-01,2.05E-04
SS_R3_A7+M0_C31,8.61E+00,6.44E-03,1.25E-01,1.38E-04,3.92E-01,1.72E-04
SS_R3_A7+M0_C32,8.93E+00,7.67E-03,1.13E-01,4.35E-04,3.99E-01,2.62E-04
SS_R3_A7+M0_C33,8.86E+00,7.23E-03,1.20E-01,6.62E-04,3.96E-01,2.52E-04
SS_R3_A7+M0_C34,8.75E+00,6.33E-03,1.51E-01,4.67E-04,3.43E-01,2.26E-04
SS_R3_A7+M0_C35,9.06E+00,7.99E-03,1.15E-01,6.09E-04,3.84E-01,2.75E-04
SS_R3_A7+M0_C36,8.98E+00,7.15E-03,1.25E-01,1.38E-04,3.83E-01,1.61E-04
SS_R3_A7+M0_C37,8.77E+00,7.99E-03,1.03E-01,6.83E-04,3.88E-01,1.70E-04
SS_R3_A7+M0_C38,9.12E+00,9.80E-03,1.18E-01,6.93E-04,3.70E-01,1.70E-04
SS_R3_A7+M0_C39,8.21E+00,3.96E-03,2.13E-01,6.48E-04,3.43E-01,3.48E-04
SS_R3_A7+M0_C40,9.27E+00,7.11E-03,8.38E-02,3.65E-04,3.39E-01,8.04E-05
SS_R3_A7+M0_C41,9.09E+00,6.10E-03,1.09E-01,4.67E-04,3.86E-01,1.84E-04
SS_R3_A7+M0_C42,8.80E+00,6.79E-03,1.23E-01,4.67E-04,3.95E-01,2.26E-04
SS_R3_A7+M0_C43,8.78E+00,8.71E-03,1.30E-01,6.74E-04,3.85E-01,2.36E-04
SS_R3_A7+M0_C44,9.04E+00,7.63E-03,1.08E-01,6.09E-04,4.30E-01,1.33E-04
SS_R3_A7+M0_C45,9.35E+00,1.22E-02,1.29E-01,2.78E-03,3.99E-01,2.17E-04
SS_R3_A7+M0_C46,8.93E+00,8.58E-03,1.25E-01,0.00E+00,4.02E-01,2.55E-04
SS_R3_A7+M0_C47,7.66E+00,7.80E-03,1.08E-01,6.09E-04,3.89E-01,1.91E-04
SS_R3_A7+M0_C48,8.26E+00,7.14E-03,1.26E-01,5.01E-04,3.30E-01,3.03E-04
SS_R3_A7+M0_C49,8.66E+00,8.94E-03,1.32E-01,7.98E-04,3.68E-01,1.99E-04
SS_R3_A7+M0_C50,8.57E+00,8.76E-03,1.11E-01,2.37E-04,3.82E-01,1.80E-04
SS_R3_A7+M0_C51,9.08E+00,6.20E-03,1.43E-01,6.09E-04,3.93E-01,1.86E-04
SS_R3_A7+M0_C52,9.95E+00,7.82E-03,1.25E-01,0.00E+00,3.98E-01,2.27E-04
SS_R3_A7+M0_C53,9.12E+00,9.33E-03,1.53E-01,5.01E-04,3.86E-01,4.79E-04
SS_R3_A7+M0_C54,9.81E+00,9.51E-03,1.09E-01,4.82E-04,3.31E-01,2.75E-04
SS_R3_A7+M0_C55,8.78E+00,7.53E-03,1.16E-01,1.14E-03,3.24E-01,3.22E-04
SS_R3_A7+M0_C56,1.00E+01,1.07E-02,9.86E-02,4.61E-04,3.55E-01,3.16E-04
SS_R3_A7+M0_C57,9.30E+00,8.23E-03,1.53E-01,3.67E-04,3.56E-01,2.29E-04
SS_R3_A7+M0_C58,9.60E+00,8.09E-03,1.11E-01,1.39E-18,3.51E-01,1.57E-04
SS_R3_A7+M0_C59,9.31E+00,4.51E-03,2.19E-01,5.93E-04,3.34E-01,4.12E-04
SS_R3_A7+M0_C60,9.41E+00,7.43E-03,1.11E-01,1.39E-18,3.55E-01,2.15E-04
SS_R3_A7+M0_C61,9.23E+00,6.93E-03,1.30E-01,6.74E-04,4.05E-01,2.92E-04
SS_R3_A7+M0_C62,9.27E+00,8.14E-03,1.11E-01,1.94E-04,4.01E-01,2.35E-04
SS_R3_A7+M0_C63,9.71E+00,7.65E-03,9.44E-02,5.56E-04,3.97E-01,1.63E-04
SS_R3_A7+M0_C64,9.33E+00,6.74E-03,9.76E-02,2.37E-04,4.03E-01,1.60E-04
SS_R3_A7+M0_C65,9.63E+00,1.83E-02,6.57E-02,1.40E-03,3.59E-01,2.88E-04
SS_R3_A7+M0_C66,9.41E+00,5.43E-03,8.32E-02,1.38E-04,3.36E-01,7.29E-05
SS_R3_A7+M0_C67,8.52E+00,6.27E-03,1.36E-01,5.34E-04,3.65E-01,2.45E-04
SS_R3_A7+M0_C68,1.30E+01,6.56E-02,4.17E-02,1.39E-18,3.80E-01,1.51E-04
SS_R3_A7+M0_C69,9.62E+00,8.08E-03,9.72E-02,2.78E-18,3.36E-01,1.46E-04
SS_R3_A7+M0_C70,1.40E+01,4.84E-02,4.17E-02,1.39E-18,3.36E-01,1.99E-04
SS_R3_A7+M0_C71,1.17E+01,4.91E-02,4.17E-02,1.39E-18,3.97E-01,1.61E-04
SS_R3_A7+M0_C72,9.26E+00,1.03E-02,9.94E-02,2.22E-03,3.98E-01,1.89E-04
SS_R3_A7+M0_C73,9.46E+00,1.86E-02,6.47E-02,1.10E-03,4.06E-01,2.53E-04
SS_R3_A7+M0_C74,8.89E+00,8.29E-03,1.18E-01,9.52E-04,3.75E-01,3.17E-04
SS_R3_A7+M0_C75,8.76E+00,6.70E-03,2.05E-01,7.31E-04,4.01E-01,6.65E-04
SS_R3_A7+M0_C76,9.55E+00,1.09E-02,6.40E-02,7.05E-04,3.26E-01,5.25E-05
SS_R3_A7+M0_C77,8.61E+00,4.98E-03,1.40E-01,5.44E-04,3.26E-01,1.81E-04
SS_R3_A7+M0_C78,9.70E+00,8.50E-03,8.17E-02,4.51E-04,2.95E-01,6.81E-05
SS_R3_A7+M0_C79,9.68E+00,7.47E-03,6.94E-02,0.00E+00,3.03E-01,4.25E-05
SS_R3_A7+M0_C80,9.42E+00,4.91E-03,8.03E-02,5.75E-04,3.19E-01,4.70E-05
MG1655_C1,9.91E+00,8.55E-03,1.67E-01,2.40E-04,4.30E-01,2.40E-04
MG1655_C2,1.01E+01,1.06E-02,1.39E-01,2.37E-04,4.27E-01,2.45E-04
MG1655_C3,9.69E+00,8.69E-03,1.57E-01,6.36E-04,4.14E-01,2.68E-04
MG1655_C4,1.14E+01,1.02E-02,1.67E-01,5.55E-18,5.24E-01,2.41E-04
MG1655_C5,1.07E+01,9.22E-03,1.52E-01,3.77E-04,4.67E-01,1.95E-04
MG1655_C6,1.22E+01,9.25E-03,1.81E-01,1.38E-04,5.55E-01,3.44E-04
MG1655_C7,1.32E+01,9.54E-03,1.67E-01,5.55E-18,5.23E-01,2.99E-04
MG1655_C8,1.23E+01,1.01E-02,1.66E-01,2.72E-04,5.34E-01,2.51E-04
SS_R3_A7+M7_C1,1.11E+01,4.86E-02,4.17E-02,1.39E-18,4.22E-01,1.16E-04
SS_R3_A7+M7_C2,9.52E+00,5.64E-03,1.25E-01,1.38E-04,3.99E-01,1.84E-04
SS_R3_A7+M7_C3,1.04E+01,6.91E-03,1.25E-01,0.00E+00,3.79E-01,1.38E-04
SS_R3_A7+M7_C4,1.00E+01,7.65E-03,1.05E-01,6.88E-04,3.67E-01,2.33E-04
SS_R3_A7+M7_C5,9.01E+00,6.23E-03,1.67E-01,3.03E-04,3.84E-01,2.44E-04
SS_R3_A7+M7_C6,9.20E+00,7.60E-03,1.38E-01,4.17E-04,3.47E-01,2.68E-04
SS_R3_A7+M7_C7,9.44E+00,7.74E-03,1.71E-01,6.58E-04,2.99E-01,1.75E-04
SS_R3_A7+M7_C8,9.02E+00,7.89E-03,1.66E-01,1.94E-04,3.84E-01,2.29E-04
SS_R3_A7+M7_C9,9.04E+00,6.68E-03,1.53E-01,4.15E-04,3.41E-01,1.44E-04
SS_R3_A7+M7_C10,9.31E+00,9.53E-03,1.23E-01,5.09E-04,3.54E-01,2.53E-04
SS_R3_A7+M7_C11,9.65E+00,6.18E-03,1.33E-01,6.88E-04,3.65E-01,1.73E-04
SS_R3_A7+M7_C12,9.09E+00,5.68E-03,1.71E-01,6.36E-04,3.67E-01,1.87E-04
SS_R3_A7+M7_C13,9.13E+00,6.11E-03,1.19E-01,6.89E-04,3.72E-01,2.35E-04
SS_R3_A7+M7_C14,9.09E+00,6.14E-03,1.94E-01,1.94E-04,3.69E-01,2.62E-04
SS_R3_A7+M7_C15,9.71E+00,6.61E-03,1.25E-01,2.37E-04,3.56E-01,1.54E-04
SS_R3_A7+M7_C16,9.25E+00,7.19E-03,1.12E-01,2.37E-04,2.92E-01,2.23E-04
SS_R3_A7+M7_C17,8.38E+00,5.13E-03,1.19E-01,6.92E-04,2.54E-01,1.32E-04
SS_R3_A7+M7_C18,9.06E+00,6.35E-03,1.50E-01,5.45E-04,3.19E-01,1.75E-04
SS_R3_A7+M7_C19,9.15E+00,4.42E-03,1.39E-01,2.78E-18,2.57E-01,5.14E-05
SS_R3_A7+M7_C20,9.32E+00,1.06E-02,1.82E-01,3.77E-04,4.02E-01,3.71E-04
SS_R3_A7+M7_C21,9.11E+00,7.12E-03,1.94E-01,5.55E-18,3.77E-01,1.83E-04
SS_R3_A7+M7_C22,8.77E+00,6.13E-03,1.63E-01,6.36E-04,3.73E-01,2.22E-04
SS_R3_A7+M7_C23,8.70E+00,6.37E-03,1.81E-01,5.55E-18,3.38E-01,2.24E-04
SS_R3_A7+M7_C24,8.61E+00,6.66E-03,1.94E-01,2.78E-04,3.12E-01,2.90E-04
SS_R3_A7+M7_C25,8.97E+00,6.10E-03,1.94E-01,1.38E-04,3.09E-01,1.64E-04
SS_R3_A7+M7_C26,8.84E+00,6.13E-03,1.53E-01,2.72E-04,3.02E-01,1.95E-04
SS_R3_A7+M7_C27,8.48E+00,8.81E-03,2.06E-01,5.34E-04,3.51E-01,2.44E-04
SS_R3_A7+M7_C28,8.47E+00,6.17E-03,1.73E-01,6.93E-04,3.28E-01,2.04E-04
SS_R3_A7+M7_C29,9.43E+00,8.27E-03,1.43E-01,6.24E-04,3.92E-01,2.37E-04
SS_R3_A7+M7_C30,8.48E+00,5.41E-03,1.95E-01,3.54E-04,3.43E-01,1.12E-04
SS_R3_A7+M7_C31,9.15E+00,6.24E-03,1.83E-01,5.34E-04,4.05E-01,2.29E-04
SS_R3_A7+M7_C32,9.33E+00,4.83E-03,1.66E-01,3.77E-04,4.06E-01,2.22E-04
SS_R3_A7+M7_C33,8.94E+00,5.62E-03,2.04E-01,6.42E-04,3.57E-01,2.18E-04
SS_R3_A7+M7_C34,9.52E+00,6.65E-03,1.69E-01,5.45E-04,3.82E-01,2.35E-04
SS_R3_A7+M7_C35,9.81E+00,6.88E-03,1.67E-01,5.55E-18,3.62E-01,2.46E-04
SS_R3_A7+M7_C36,9.17E+00,7.76E-03,1.66E-01,4.31E-04,3.48E-01,1.90E-04
SS_R3_A7+M7_C37,9.32E+00,7.49E-03,1.56E-01,6.01E-04,2.96E-01,2.55E-04
SS_R3_A7+M7_C38,8.32E+00,5.66E-03,1.39E-01,1.38E-04,2.45E-01,1.36E-04
SS_R3_A7+M7_C39,8.45E+00,6.32E-03,1.67E-01,1.96E-04,2.94E-01,1.90E-04